S0167	yeah hundred and forty end up with all these at two hundred and eighty maybe three hundred
S0104	that's
S0379	well and we're just here be ourselves
S0379	it doesn't matter do it
S0167	yeah
S0104	help yourself to fruit well the bananas be look a bite rank now aren't they
S0167	yeah the pears
S0104	and the pears
S0167	it's all look a little bite ropey
S0104	it be actually that's because you take them all out of the fridge the pears
S0167	no they be already a bite bruise yeah but they be hide in the fridge no one be gonna eat them
S0104	dad eat them he get fruit and he keep his but i don't eat much fruit to be honest
S0167	well that's selfish
S0104	apart from the bananas
S0379	he do he's quite good isn't he
S0104	he's always eat fruit but he he always keep it in the fridge he prefer it erm
S0167	well i take it out
S0104	i think
S0379	like when in my pack up always do me erm mango and
S0104	oh yeah
S0379	pineapple and kiwi
S0104	i love mango
S0379	but we go to lidl
S0104	mm
S0379	and erm they have like the fresh kiwis
S0104	mm
S0379	not on the stick just on the thing and that sharon fruit that's the pink one with the white
S0104	oh
S0379	flesh in the er black
S0104	yeah
S0379	stone in it hasn't get a lot of flavour in it but it's something for a change
S0104	i like i like mango we do get mangoes sometimes but because they're quite expensive
S0379	expensive yeah
S0104	sometimes aren't they
S0379	we do like lidl though
S0104	mm
S0379	their fruit and veg be quite a reasonable price
S0104	yeah
S0104	trouble be lidl's in right in the middle of the town and it's kind of
S0167	awkward to get to
S0104	well it's not awkward it's just i suppose but when you're lazy it's just not as convenient as tesco's which you drive right past
S0379	yeah we've get an aldi come to us it's the biggest one in the country apparently
S0104	be it we've get a small aldi at aldi aldi in erm smallish but i just hardly ever go to
S0379	no i don't i don't like aldi i prefer lidl
S0104	i prefer lidl's but i er occasionally if i go to we'll go have a look in aldi but not every
S0167	use to walk to the door in germany
S0104	in germany
S0167	with my my suitcase in my hand
S0104	with a suitcase
S0167	cos i work out that instead of carry about like six hundred bag and break my arm it be better to take a suitcase and then at the end i could pack it all into my suitcase and i'd just walk along with my suitcase
S0104	didn't you feel silly take your shop off the thing and put it in the suitcase
S0167	well no cos then i think well it's gonna save me a dead arm when i get home
S0104	mm
S0167	cos it's absolute horrible it's absolutely horrible
S0104	yeah
S0167	take a like
S0104	yeah i can see that
S0167	cos i use to do all my i use to just do like a hundred euros worth at once like as soon as i get pay and that would last me a few weeks
S0104	be that at
S0167	mm
S0104	mm
S0167	but then you get to together with and you just eat at the café
S0167	yeah
S0104	and never do anymore shop
S0167	never do anymore he be a very useful boyfriend to have
S0104	yeah when she be do this record the other night my friend and her daughter be here and we be over there and she'd put one of the nest of table in the middle with the with the phone on and erm and come up jump and sit on it and sit on the phone and i didn't notice
S0167	i haven't listen to that one yet so i don't know
S0104	it be only oh probably about ten second before say ere look at him
S0379	he's sit on the conversation
S0104	stupid cat
S0379	so be we gonna go to today then
S0104	yeah wrap up girls
S0167	well it's gonna be very windy isn't it
S0104	what's at then apart from the sea of
S0167	dunno it's a i dunno i've only ever be to the beach there well let's look it up
S0379	nice little shop
S0167	let's look on the beach and see if there's anything nice to do
S0104	and there's the sea my cousin's house that's the only
S0167	we're not gonna go to your cousin's
S0104	well i'm just say they're the only two place i've be to in the sea and and 's
S0167	well let's look on google if there's any like nice place inside any nice things to do there
S0379	charles dickens house
S0104	yeah
S0167	yeah yeah
S0104	yeah there's charles dickens house
S0167	oh yeah that sound good
S0104	yeah that would be interest
S0167	yeah
S0379	don't know if you can go in can you
S0167	can you not oh do they not open as a museum
S0104	oh there's bind to be some sort of charles dickens museum isn't there
S0379	oh yeah
S0104	erm
S0167	do he live in then i think he live in rochester
S0104	oh he live all over
S0379	he do well it be rochester
S0104	he be bear in london move to rochester as a kid i think
S0379	yeah
S0104	live in do a lot of his write in as an adult
S0379	well what about well it's all near innit
S0104	yeah
S0379	we could go to all three if we want and
S0167	never be to actually or
S0104	i've be 's horrible
S0167	oh i have actually i go to winter garden
S0379	i think they be erm
S0167	to watch scout for girls
S0379	i think they do erm do it all up and invest load of money in
S0104	i don't know i i haven't be to since the bembom brothers
S0379	oh
S0167	so they may well have do
S0379	the loop star dreamland oh i use to love that when i be kid
S0379	my mum and dad hat but i love it and i remember go on that loop star twelve time without get off
S0167	what's the loop star
S0379	it's erm a roller coaster that go
S0167	oh okay
S0379	round and round and it go upside down
S0167	haven't be to a roller coaster for age
S0104	they oh hang on no dickens house and museum
S0167	dickens house and museum oh yeah that sound good how much be it
S0104	well it's
S0167	the cottage that be charles dicken's inspiration for the home of betsy trotwood and david copperfield
S0104	mm open time
S0167	oh it's close
S0104	oh it's close doesn't open till easter that's the trouble a lot of these place
S0379	yeah that's the trouble isn't it
S0104	don't open till easter do they
S0379	well say that it's easter in two weeks isn't it
S0104	yes yes
S0379	what do say about again
S0104	she say well i've already tell dad that we're come to you she say so dad wasn't listen she say which he doesn't a lot of the time to me so he just say oh that's nice love and didn't really take in what i say or he's tell and she's do that on purpose
S0167	have she have reply
S0104	no
S0167	oh
S0379	i must admit i'm a as i've get older i'm a great believer in honesty be the best policy
S0104	mm well to be honest
S0379	because if you start lie to one person
S0104	well i wouldn't have lie
S0379	you have to on
S0104	mm
S0379	or not lie that's the wrong word not tell the
S0104	yeah
S0379	whole or not give all the information
S0104	well i just wouldn't have mention it and then if she'd find out we could have say oh yeah you know well we mention it age ago you'd just move haven't think about it but i wouldn't lie because that would have get you know and they've get
S0167	yeah
S0104	a five year old who's go to
S0104	and so erm
S0379	and at the end of the day why can't you see your niece
S0104	well yeah yeah
S0379	her dad and his wife don't have to be involve do they in everything
S0104	no i mean she go you know they go and stay with her and they don't invite me and she come and stay with them and they don't invite me you know there's it's just always it's just happen
S0379	why have they all of a sudden start fall out then or not be
S0104	well a be they've always have a sort of they they haven't fall out just like
S0379	i suppose she's feed up this be your next mum
S0379	this be your new mum
S0104	she try to er well she be she's hard she's hard work isn't she
S0167	yeah yeah she be
S0104	and she flip on christmas day they pick up from the airport on christmas day
S0379	mm
S0104	because
S0167	yeah she be
S0104	they live in at that time which be not far from er you know about half an hour's drive to heathrow and they be come here anyway and 's daughter be land in from canada about an hour before land from peru
S0379	oh right
S0104	so they pick them both up go back to the flat in cos they have to erm
S0167	get stuff
S0104	get all you know the the dog and all her gear cos they be stay for a couple of nights and erm so they go back to the flat have a shower and they they just mill around at the flat for a couple of hours and they'd do stock for them all and things and erm and then text them cos i'd work christmas eve night
S0167	yeah you never text you know like never to text now
S0104	texted
S0167	yeah
S0104	and say can you just give us a tell me let me know when you leave when you're leave and then i'll know what time to wake up a fairly simple text nothing complicate
S0379	what time do you come in in the like eight o'clock
S0104	yeah yeah so
S0379	and what time do he send that
S0104	about midday
S0167	yeah cos we be already at the flat at that time
S0104	yeah
S0167	cos you
S0379	what time do you land
S0167	i land at ten
S0379	in the morning
S0167	yeah
S0379	and what time do the daughter land nine
S0167	well she land at nine but she take so long to get through customs that she actually come out just before me so it work out perfectly
S0104	yeah cos she's not
S0167	anyway
S0104	she i mean you say the
S0167	yeah
S0379	oh so
S0104	yeah
S0379	she have to go through oh right
S0104	yeah
S0379	yeah
S0167	they do stop me actually they say excuse me do you have any erm alcohol in that bag and i say cos i have all those things present didn't i
S0104	oh yeah
S0167	i say oh yeah i have a little bite they say how much and i say oh a couple of bottle and they be oh that's fine merry christmas and i go okay
S0167	they obviously couldn't be bother that day
S0379	cos i must admit you when you go through and you think oh i've get two hundred i've get or twenty
S0167	yeah i'm always yeah
S0379	twenty fag too many
S0104	yeah
S0379	cos you've get
S0104	yeah
S0379	a packet and you walk through feel as guilty as anything
S0104	mm
S0379	and there's nobody there but they know who they're look for
S0104	yeah
S0379	don't they and they know what flight
S0104	anyway so so send this text and say oh that well you you though i wasn't there you know
S0167	yes
S0104	the rest of the story
S0167	be just wonder like she be like kind of pack her case and you know they be start to get ready to leave and erm
S0379	and be she in a good mood
S0167	she be in a really good mood and really happy we'd do all our stock and everything and we erm yeah so everyone be in a good mood a nice mood and then say oh 's just text she go oh my god be he pressure us do we need to leave now she like grab her suitcase she be shove stuff in it she be go have you get your moccasins
S0167	and she like be like i'm all i'm all pack mum she go well have you get your moccasins and say i don't want any moccasins she go well what about your feet on the floor
S0167	and her daughter's like my age twenty four and she be like try to pack her case for her
S0167	and she hadn't see her for six months as well have she
S0104	no
S0167	and she like scream at and erm yeah it be like
S0379	what and just say so that you're
S0167	yeah
S0104	well he ask what time to wake me up
S0167	but she didn't even listen to what say
S0104	so i'd be up and all ready by the time they get here you know
S0167	but yeah she didn't even listen to what say all he say be 's just text me and she she start fly into crazy mode and erm so we have about half an hour of this we kind of rush out to the car throw the dog in there and then when we sit down everything be pack and we sit down she be suddenly have flip again into normal mode and go oh i shouldn't eat starch it really drive me crazy
S0379	you shouldn't what
S0167	eat starch cos she'd be eat crisp beforehand
S0104	yeah she be quite
S0167	and then she flip into into happy jolly mode again and we have
S0167	a happy jolly journey back
S0379	oh
S0104	so say it's your fault dad
S0167	it be all dad's fault we have a very uncomfortable
S0167	i be just sit there while she be scream at because he
